English,Portugese,French,Spanish,Indonesian
Know Your Customer (KYC),,,Conoce a tu cliente (KYC),
Proof of identity (POI),,,Prueba de identidad,
Proof of address (POA),,,Prueba de dirección,
Proof of wealth,,,Prueba de riqueza,
Enhanced Due Diligence (EDD),,,Debida diligencia reforzada,
Customer Due Diligence (CDD),,,Debida diligencia con respecto al cliente,
