en,pt,fr,es,id,vi,it,ru
Increase your returns,Aumentar seus retornos,Augmentez vos rendements,Incrementa tu rendimiento,Tingkatkan keuntungan Anda,Increase your returns,Aumenta i ritorni,Increase your returns
Trade on the world markets,Negocie em mercados mundiais,Tradez sur les marchés mondiaux,Opera en los mercados mundiales,Trading di pasar dunia,Trade on the world markets,Fai trading sui mercati mondiali,Trade on the world markets
No swap charges,Não pague taxas de swap,Pas de frais de swap,Sin cargos swap,Tanpa biaya swap,No swap charges,Nessun imposti swap,Никаких свопов
Multi-asset trading platform,Plataformas de negociação de múltiplos ativos,Plate-forme de trading avec de multiples actifs,Plataforma de operación con múltiples activos,Platform trading multi-aset,Multi-asset trading platform,Piattaforma multi-asset per il trading,Мульти-активная торговая платформа
Versatile trading experience,Experiência de negociação versátil,Une expérience de trading polyvalente,Experiencia de operación versátil,Pengalaman trading serbaguna,Versatile trading experience,Esperienza versatile di trading,Versatile trading experience
Customise your trading environment,Personalize seu ambiente de negociação,Personnalisez votre environnement de trading,Personaliza tu entorno de operación,Sesuaikan trading Anda dengan mudah,Customise your trading environment,Personalizza il tuo spazio di trading,Настройте свою торговую среду
Built to fit your trading style,Construída para se adequar ao seu estilo de negociação,Conçu pour s'adapter à votre style de trading,Construido para adaptarse a tu estilo de operación,Disesuaikan dengan gaya trading Anda,Built to fit your trading style,Pensata per adattarsi al tuo stile di trading,Built to fit your trading style
Multiple markets on a single platform,Vários mercados em uma única plataforma,Plusieurs marchés sur une seule plateforme,Múltiples mercados en una única plataforma,Berbagai pilihan pasar dalam satu platform,Multiple markets on a single platform,Mercati diversi su un'unica piattaforma,Несколько рынков на одной платформе
Bespoke trading experience,Experiência de negociação personalizada,Expérience de trading sur mesure,Experiencia de operación a medida,Pengalaman trading yang diciptakan secara khusus,Bespoke trading experience,Esperienza di trading personalizzata,Индивидуальный торговый опыт
Intuitive tools,Ferramentas intuitivas,Outils intuitifs,Herramientas intuitivas,Peralatan yang intuitif,Intuitive tools,Strumenti intuitivi,Интуитивно понятные инструменты
Feature-rich charts,Gráficos ricos em recursos,Graphiques riches en fonctionnalités,Gráficos repletos de características,Fitur charting lengkap,Feature-rich charts,Grafici con numerose funzionalità,Многофункциональные графики
Trading made simple,Ficou mais fácil negociar,Le trading en toute simplicité,Trading simplificado,Trading dengan mudah,Trading made simple,Il trading non è mai stato cosí semplice,Трейдинг может быть простым
Flexible trade duration,Duração flexível de negociação,Durée de trading flexible,Duración de operación flexible,Durasi trading yang fleksibel,Flexible trade duration,Durata flessibile del trade,Гибкие настройки длительности
Make smarter trading decisions,Tome decisões de negociação mais inteligentes,Prenez des décisions de trading plus avisées,Tome decisiones de operación inteligentes,Membuat keputusan trading yang lebih cerdas,Make smarter trading decisions,Rendi vincenti le tue scelte di trading,Принимайте более разумные торговые решения
"Trade what you want, when you want","Negocie o que você quiser, quando quiser"," Tradez ce que vous voulez, quand vous le voulez","Opera lo que quieras, cuando quieras","Bertrading apa saja, kapan saja yang Anda inginkan","Trade what you want, when you want","Scegli tu cosa, quando","Trade what you want, when you want"
"Start trading whenever, wherever you want",Comece a negociar quando e onde quiser,Commencez à trader quand et où vous voulez,"Empieza a operar donde quieras, cuando quieras","Mulai bertrading kapan pun, di mana pun","Start trading whenever, wherever you want","Inizia a fare trading dove vuoi, quando vuoi","Start trading whenever, wherever you want"
User-friendly features,Recursos fáceis de usar,Fonctions faciles à utiliser,Características fáciles de usar,Fitur yang mudah digunakan,User-friendly features,Funzionalità facili da usare,Удобные функции
Round the clock,24 horas por dia,Jour et nuit,A cualquier hora,Trading sepanjang waktu,Round the clock,24 ore su 24,Круглосуточно (adv) / Круглосуточный (adj - m) / Круглосуточная (adj - f)
Easy access,Fácil acesso,Facile d'accès,Fácil acceso,Akses mudah,Easy access,Accesso veloce,Легкий доступ
Trading on the go,Negociação em qualquer lugar,Tradez en toute liberté,Trading portátil,Trading dimana saja,Trading on the go,Trading ovunque tu sia,Мобильный трейдинг
Risk appetite,Apetite de risco,Appétit pour le risque,Apetito de riesgo,Selera risiko,Risk appetite,Propensione al rischio,Аппетит к риску
Trader sentiment,Sentimento do negociante,Sentiment de trader,Sentimiento de trader,Sentimen trader,Trader sentiment,Sentimento dei trader,Trader sentiment
Economic slowdown,A desaceleração econômica,Ralentissement économique,Desaceleración económica,Perlambatan ekonomi,Economic slowdown,Rallentamento economico,Экономический спад
Gain traction,Ganho de tração,Gagnez de la vitesse,Ganar tracción,Dapatkan daya tarik,Gain traction,Ottieni trazione,Gain traction
Fund your account,Deposite na sua conta,Déposez des fonds dans votre compte,Depositar fondos en tu cuenta,Danai akun Anda,Fund your account,Deposite fondi sul suo conto,Fund your account
Cryptographically secure,Criptograficamente seguro,Cryptographiquement sécurisé,Criptográficamente seguro,Aman secara kriptografis,Cryptographically secure,Protetto con criptografia,Криптографически безопасный (m) / Криптографически безопасная (f) / Криптографически безопасный (ng) / Криптографически безопасные (pl)
Simulate real-world market movements,Simulam movimentos de mercado do mundo real,Simule les mouvements réels du marché,Simular los movimientos de los mercados del mundo real,Mensimulasikan pergerakan pasar nyata,Simulate real-world market movements,Simulano i movimenti del mercato del mondo reale,Симулирует движения реального рынка (sng) / Симулируют движдвижения реального рынка (pl)
Know Your Customer (KYC),Know Your Customer (KYC),Know Your Customer (KYC),Conoce a tu cliente (KYC),Kenali Pelanggan Anda (KYC),Know Your Customer (KYC),Know-your-customer (KYC),Знай своего клиента (KYC)
Proof of identity (POI),Comprovante de identidade (POI),Document d'identité (POI),Prueba de identidad (POI),Bukti identitas (POI),Proof of identity (POI),Verifica dell'identità (POI),Подтверждение личности (POI)
Proof of address (POA),Comprovante de endereço (POA),Justificatif de domicile (POA),Prueba de dirección (POA),Bukti alamat (POA),Proof of address (POA),Verifica dell'indirizzo (POA),Подтверждение адреса (POA)
Proof of wealth,Comprovante de renda,Justificatif de solvabilité,Prueba de solvencia,Bukti kekayaan,Proof of wealth,Prova a verifica del patrimonio,Подтверждение происхождения средств 
Enhanced Due Diligence (EDD),Diligência devida aprimorada (EDD),Diligence renforcée (EDD),Debida diligencia reforzada (EDD),Uji Tuntas yang Ditingkatkan (EDD),Enhanced Due Diligence (EDD),Due diligence rafforzata (EDD),Углубленная комплексная проверка (EDD)
Customer Due Diligence (CDD),Diligência devida ao cliente (CDD),Diligence à l'égard du client (CDD),Debida diligencia con respecto al cliente (CDD),Uji Tuntas Pelanggan (CDD),Customer Due Diligence (CDD),Due diligence nel rapporto con la clientela (CDD),Надлежащая проверка клиента (CDD)
